Beschriftung;Eingabesequenz
Sonstiges;Mai Deutschland aktiv
Sonstiges;ebenfalls Mai Marke about -- eintragen
Sonstiges;Onlineshop Aboutyou
Sonstiges;de entstehen Rahmen Ecommerceprojekt Collin Juni Otto Group Benjamin Otto heutig Geschaeftsfuehrung Leben rufen
Sonstiges;dafuer investieren Konzern dreistellig Millionenbetrag
Sonstiges;Geschaeftsfuehrung Collin Gmbh Co
Sonstiges;kg Holding Fuer neu Projekt agieren Tochter about -- Gmbh Uebernahmen Benjamin Otto Tarek Mueller sebastian Betz hannes Wiese
Sonstiges;Zug Gruendung Project Collins Uebernahm Otto Group Mueller Betz Gegruendet digitalagentur Netimpact Framework Creativetask Mitarbeiter
Sonstiges;gruend Tarek Mueller Sebastian Betz hannes Wiese Transaktion ebenfalls about -- Gmbh beteiligen
Sonstiges;Juni verliess Benjamin Otto Posten Geschaeftsfuehrer Otto Group Rolle gestaltend Gesellschafter uebernehmen
Sonstiges;August Aboutyouwebshops Oesterreich Schweiz online Anfang Oktober Niederlande Belgien Anfang August Polen
Sonstiges;Oktober Tschechien
Sonstiges;September beteiligen Sevenventure Investmentbeteiligung Prosiebensat
Sonstiges;Media german Media Pool Niko waeschen Aljoscha Kaplan Minderheitsbeteiligung Unternehmen
Sonstiges;Gruendung Hamburger Unternehmen Investor Million Euro bewerten
Softwareentwicklung im E-Commerce;November bieten about -- Ecommerceinfrastruktur Software Fuer Betrieb Webshops Lizenzprodukt fuer anderer Onlinehaendler Zunaechst Name about -- Cloud -- scayle -- Your Commerce engine --
Sonstiges;Juli beteiligen daenisch Heartland As Sitz Aarhus Beteiligungsholding groessten europaeisch Bekleidungsunternehmen Bestseller as Zug Kapitalerhoehung Prozent Unternehmen
Sonstiges;Rahmen about -- ueber Milliarde Usdollar bewerten Hamburg -- einhorn -- unternehmen
Sonstiges;Anteilseigner Unternehmen Otto Group groesst Anteilseigner Heartland As -- zweistellig Anteilsbetrag -- sevenventures german Media Pool Geschaeftsfuehrer Tarek Mueller Sebastian Betz hannes Wiese Benjamin Otto Janina oezenotto Gesellschaft Fuer Handelsbeteiligungen mbh
Sonstiges;about -- Beteiligungsgesellschaft Konzernportfolio gefuehrt
Sonstiges;Anfang April about -- Slowakei Ungarn Rumaeni vertreten
Sonstiges;Aboutyoushop Slowenien Lettland Estland Litauen Kroatien Bulgarien Daenemark Finnland Schweden Online Spanien Italien Griechenland Portugal
Sonstiges;Juni about -- Boerse Frankfurt
Sonstiges;Rahmen Privatplatzierung institutionell Investor Million stimmberechtigt Aktie Zeichnungspreis Euro Aktie anbieten ueberwiegend Kapitalerhoehung geringer Umfang Alteigentuemer stammen
Sonstiges;Boersengang Unternehmensanteile Streubesitz ueber
Sonstiges;Zeichnungspreis entsprechen Boersenwert Unternehmen Milliarde Euro
Sonstiges;insgesamt mio
Sonstiges;Euro erloest
Sonstiges;September
Sonstiges;Dezember Aktie Sdax gelisten
Sonstiges;Geschaeftstaetigkeitzur zielgruppe about You gehoeren Frau Maenner
Sonstiges;Sortiment Onlineshop umfasst
Sonstiges;Artikel
Sonstiges;Marke stehen September exklusiv angeboten kollektion
Sonstiges;modemark Edited gleichnamig Webshop stationaer Geschaeft Deutschland Oesterreich ueber Partnergeschaeft Deutschland Niederlanden Belgien Schweiz Oesterreich Daenemark Tschechien anbieten
Sonstiges;wichtig Verkaufskanal Smartphoneapp ueber umsatz nerieren
Sonstiges;marketingwesentlich Merkmal Marketing about you eng Zusammenarbeit influencern -- idols -- nennen outfits teilweise kollektion praesentieren
Sonstiges;Deutschland gelten about -- Vorreiter Influencermarketing Unternehmen arbeiten Model tventertainern Schauspieler Musiker Stefanie giesing Lena gerck Bonnie Strange Daniel Fuchs
Sonstiges;insgesamt stehen Influencer about -- Vertrag
Sonstiges;Unternehmen verfolgt marketingstrategien zaehlt weiterhin Personalisierung
Sonstiges;Webshop about -- nerieren Fuer Kunde personalisiert Newsfeed personalisiert Produktsortierunge basierend vergangen kaeuf Like Marke Mensch Produktgruppe Kaufwahrscheinlichkeit Person aehnlich Profilen
Sonstiges;Marketing Unternehmen gelten Bestpracticebeispiel mehrfach praemieren Gegenstand Reihe Analyse
Sonstiges;Marketingeventsseit veranstalten Unternehmen about -- awards
Sonstiges;jaehrlich stattfindend Preisverleihung Socialmediapersoenlichkeit Fernsehsender prosieben uebertragen
Sonstiges;Februar geben about -- Kooperation Veranstalter pangea Festival -- about -- pangea Festival -- Musik Sport Kulturevent Puetnitz Ostsee
Sonstiges;Auszeichnungenabout -- mehrfach Fachzeitschrift Internet World Business verliehenen Shop award Fuer Onlineshop auszeichnen -- Onlinepureplayer -- -- best -- show -- -- Mobile Shop -- Platz Kategorie -- Onlinepureplayer -- fuer edited
Sonstiges;de jeweils -- Onlinepureplayer --
Sonstiges;weblinkscorporatewebseit Einzelnachweise
Softwareentwicklung im E-Commerce;com deutsch Boersennotiert ecommerceunternehmen Bereich Luxusmode Sitz Muenchen
Sonstiges;Website vertreiben international Kleidung schuhen accessoir Fuer damen Herren Kind
Sonstiges;Hintergrund eroeffneen Susanne Christoph botschen Muenchener Innenstadt Boutique -- Theresa
Sonstiges;-- Designermode Fuer damen verkaufen
Sonstiges;ergaenzen Ehepaar stationaer Einzelhandel Gruendung Mytheresa
Sonstiges;Onlineshop bieten Kleidung Schuh Tasche accessoir Echtschmuck designer Valentino Balenciaga Gucci saint Laurent
Sonstiges;investieren Wagniskapitalgeber Acton Capital Partners halten fortan Minderheitsanteil
Sonstiges;Mytheresa
Sonstiges;com Neiman Marcus usamerikanisch Nobelkaufhauskette Fuer Million Euro verkaufen
Sonstiges;Maerz fungieren Michael Kliger Geschaeftsfuehrer Mytheresa
Sonstiges;Unternehmen betreiben Webseit Sprache deutsch englisch franzoesisch arabisch chinesisch koreanisch Spanisch liefern laut Angabe ueber Laender
Sonstiges;Fuehrt Shop damen Kindermode Januar Sortiment Herrenmode erweitern
Sonstiges;Mai melden neiman Marcus Insolvenz Chapter
Sonstiges;Mytheresa Finanzinvestore Konkursmasse Herausgeloest ueber Gesellschafterdarlehen Usd mio
Sonstiges;zwischenfinanzieren
Sonstiges;Januar unmittelbar Muttergesellschaft myt netherlandsn usboerse Nyse bringen Emissionserloes Usd mio
Sonstiges;dienen Rueckzahlung Gesellschafterkredite Rest floss Unternehmen Finanzierung stark Wachstum
Sonstiges;erweitert Mytheresa Einfuehrung Kategorie -- life -- Luxusangebot Wohnkultur lifestyleprodukte
Sonstiges;Juni bekennen Unternehmen Lager naehe Flughafen Leipzig beziehen Zunaechst Mitarbeiter arbeiten
Sonstiges;home se Boersennotierter onlineversandhaendl Fuer Moebel Gartenmoebel Wohnaccessoires Sitz Berlin
Sonstiges;Unternehmen hiess zunaechst fp Commerce Home Gmbh
Sonstiges;Mai Unternehmen Aktiengesellschaft umwandeln
Sonstiges;Unternehmen Oesterreich Niederlanden Frankreich Belgien Italien Schweiz taetig
Sonstiges;Geschichteim Juni gruendet Philipp Kreibohm Felix Jahn Unternehmen Name fp Commerce
Sonstiges;Spaeter Onlineshops Fuer Gartenmoebel sonstig Moebel Nischenshopsystem aufnehmen
Sonstiges;Idee Moebel einrichtungsgegenstaende verkaufen gebären
Sonstiges;Nischenshop allesamt offline nehmen Maerz gesamt Sortiment Markennamen Home Gefuehrt angesichts geplant Internationalisierung
Sonstiges;Juni starten Onlinemoebelhaus Frankreich zeitgleich Niederlanden Online
Sonstiges;insgesamt Unternehmen international Laender aktiv
Sonstiges;April startet Home Singapur Malaysia stellen Angebot August
Sonstiges;Dachregion komplettieren Januar Oesterreich Februar Schweiz Onlineshops online nehmen
Sonstiges;jung Matt kreieren tvspot -- Arsch Welt -- fuer home September Schauspieler oliver Korittke nebenroll Uebernahm
Sonstiges;treten Hom Onlinehaendler Gfmtrendverband
Sonstiges;Mai erfolgen Spatenstich Fuer neu Logistikzentrum Ludwigsfelde Brandenburg suedlich Berliner Stadtgrenze
Sonstiges;Entwicklung spaeter Verwaltung
Sonstiges;m² Versandlager Uebernahm Immobilienkonzer Goodman Group
Sonstiges;bisherig logistikstandorte Freienbrink Berlin Grevenbroich Duesseldorf
Sonstiges;September Lothar Lanz neu Aufsichtsratsvorsitzenden Home se waehlen
Sonstiges;Lanz Vorstand Axel Springer se Fuer Personal Finanz zustaendig wechseln ebenfalls Aufsichtsrat
Sonstiges;Oktober eroeffnet Home bislang groesst Logistikzentrum Niedersachsen
Sonstiges;m² Logistikzentrum betrieben Immobilie onlinemoebelhauses Deutschland
Sonstiges;Home fuehren
Sonstiges;Artikel ueber
Sonstiges;Hersteller
Sonstiges;reduzieren Unternehmen Sortiment Drittel
Sonstiges;Artikel
Sonstiges;Angabe Boersenzeitung Hom Profitabilitaet steigern
Sonstiges;Zusammenhang Wachstumstempo Unternehmen aeusseren Coceo Appelhoff Maerz unzufried
Sonstiges;Juni folgen Erstnotierung Unternehmen Frankfurter Boerse
Sonstiges;Monat Boersengang Hom Umsatzwarnung veroeffentlichen
Sonstiges;Unternehmen verfehlen reduziert Umsatzprognose
Sonstiges;Maerz verlieren Home Ausgabekurs
Sonstiges;Dezember vereinbart home mehrheitlich Uebernahme Handelskette Butler
Sonstiges;Transaktion Fruehjahr abschließen
Sonstiges;Herbst unterbreiten oesterreichisch Einrichtungshausgruppe xxxlutz Uebernahmeangebot Fuer home
Sonstiges;zuvor xxxlutz Stimmrecht sichern -- Aktionaer Rest geplant Kapitalerhoehung Home Ausschluss Bezugsrecht uebriger Aktionaer
Sonstiges;Homemanagement unterstuetzen Uebernahmeangebot
Sonstiges;Januar geben xxxlutz bekennen ueber Aktie verfuegen Koenn
Sonstiges;Abschluss kartellrechtlich Verfahren Kauf vollziehen
Sonstiges;unternehmenim erzielen Home Umsatz Million Euro Umsatzsprung Gegenueber vorjahr
Sonstiges;Unternehmen verzeichnet Million Kunde
Sonstiges;Angabe Dezember veroeffentlicht neunmonatsdaten verzeichnen Unternehmen Nettoumsatz Million Euro
Sonstiges;Vorjahreszeitraum betragen Nettoumsatz Million Euro entsprechend Wachstum Prozent
Sonstiges;operativ Verlust steigen Vergleich Vorjahreszeitraum Million Euro Prozent hoeher
Sonstiges;Geschaeftsjahr erzielt Home Umsatz Million Euro Anstieg Prozent Vergleich vorjahr
Sonstiges;operativ Verlust sinken Zeitraum Million Euro Million Euro
Sonstiges;Unternehmen laut Bundesanzeiger Mitarbeiter
Sonstiges;Halbjahr steigern Home Umsatz Prozent Vergleich Vorjahr Million Euro
Sonstiges;Unternehmen verzeichnet Million Kunde
Sonstiges;Geschaeftsjahr erzielen Unternehmen
Sonstiges;Mitarbeiter Umsatz Million Euro
Sonstiges;Anteilseigner halten rocket Internet Kinnevik Holtzbrinck ventures Reinhold Zimmermann Zimmermann beteiligung Gmbh Co
Sonstiges;kg jeweils
Softwareentwicklung im E-Commerce;Rewe Group beteiligen September Home erhoffen Vernetzung Ecommerce
Sonstiges;Dezember Finanzierungsrunde Million Euro
Sonstiges;Million Euro Runde Hauptinvestor Rocket Internet Beteiligung Holtzbrinck venture Acton Capital Partners
Sonstiges;Bewertung Unternehmen liegen Abschluss Finanzierungsrunde Million Euro
Sonstiges;Juni fuehren schottisch Investor Baillie Gifford Million Euro Finanzierungsrund ueber Million Euro insgesamt
Sonstiges;Altinvestor Rocket Internet beteiligen Million Euro
Sonstiges;Bewertung Unternehmen liegen Finanzierungsrunde Million Euro
Sonstiges;Maerz Finanzierungsrunde Hoehe Million Euro haelfte bestehend Investor
Sonstiges;Abschluss Finanzierung Unternehmen Million Euro bewerten
Sonstiges;Finanzierungsrund Unternehmen Million Euro bewerten
Sonstiges;wichtig Investor Unternehmen jp morgan asset Management Rewe Group Baillie Gifford
Sonstiges;Januar halten Rocket Internet
Sonstiges;Juni Unternehmen Frankfurter Boerse
Sonstiges;Februar reduziert Rocket Internet Anteil Home
Sonstiges;Outlet Storesim November uebernehmen Unternehmen ehemalig Konkurrent fashion for home -- setzen erstmals ladengeschaefte --
Sonstiges;April eroeffnet Home outlet Store Bezirk Berlin Prenzlauer Berg
Sonstiges;verfuegt Home ueber Outlet Stores Berlin Bottrop
Sonstiges;home eroeffnen Outlet Neuulm
Sonstiges;Koeln befinden Februar
Sonstiges;quadratmetern groesster outlet Store
Sonstiges;Mai Hannover
Sonstiges;outlet eroeffnen gehoert
Sonstiges;quadratmetern Neuulm Koeln Megaoutlet
Sonstiges;Eigenmarkendas Unternehmen konzentrieren stark Ausbau Eigenmark sortiment Hom eigens konzipieren entwickeln
Sonstiges;gehoeren anderer Marke Kinx Smood
Sonstiges;designkooperatione gehoeren Onlinemoebelhaus Januar Kollektion Topmodel eva Padberg Markt bringen
Sonstiges;international Ablegerda Unternehmen Mobly international Ableger Brasilien ebenfalls rocket Internet aufbauen
Sonstiges;Name home Unternehmen Deutschland Frankreich Niederlanden Oesterreich Italien Belgien Schweiz taetig
Sonstiges;Logistikin Europa verfuegt Home ueber Logistikstandortehome liefern Bestellung Deutschland Lieferdienst
Sonstiges;Weblinkswww
Sonstiges;Deelisabeth Dostert Kill Billy
Sonstiges;sueddeutsch Zeitung
Sonstiges;August
Sonstiges;home Kopie
Sonstiges;Berliner Zeitung
Sonstiges;November
Sonstiges;spread group rufname Sprd
Softwareentwicklung im E-Commerce;net Dachmarke Fuenf international agierend Ecommerceplattform Sitz Leipzig
Sonstiges;studentisch Startup gegruendet Socialcommerceunternehmen stellen nutzer Marke Spreadshirt Onlineplattform Verfuegung Hilfe tshirts gestalten kaufen ueber Marktplatz Verkauf anbieten Koenn
Sonstiges;Konzern gehoeren Produktionsunternehm Angebot Fuer Ondemanddruck Merchandising
Sonstiges;saemtlich Geschaeftsvorgaeng ueber Internet abgewickelt
Sonstiges;geschichtespreadshirt Lukasz Gadowski Matthias spiess gruenden
Sonstiges;spiess Zeitpunkt Erfahrung Gruendung Unternehmen
Sonstiges;Geschaeftsfuehrer Michael Petersen Sommer Partner Firma aufnehmen
Sonstiges;Unternehmensform Gmbh wandeln
Sonstiges;Hauptsitz Spread Group liegen Leipzigplagwitz
Sonstiges;zudem befinden europaeisch Bueros Berlin London Paris Utrecht polnisch Legnica
Sonstiges;entstehen Produktionsstandort Leipzig amerikanisch Niederlassung Greensburg Pennsylvania Henderson Nevada
Sonstiges;Juli investieren Londoner Risikokapitalunternehm Accel Partners Spread Group
Sonstiges;geld verwenden franzoesisch Firma Lafraise kaufen Europa groesster fortlaufend Tshirtdesignwettbewerb Internet veranstalten
Sonstiges;Unternehmen Lafraise Juli schließen
Sonstiges;irisch Tochterfirma -- fraise ltd
Sonstiges;aktiv
Sonstiges;August geben Gadowski Posten Vorstandsvorsitz Spread Group fungieren stattdessen vorsitzend Aufsichtsrat
Sonstiges;Gadowskis Nachfolgerin Usamerikanerin Jana Egger November Ceo spread group taetig
Sonstiges;Mai ehemalig Marketingvorstand Philip Rooke ceo ernennen
Sonstiges;Mitbegruender vorherig cto Matthias Spiess wechseln Aufsichtsrat
Sonstiges;Spread Group umfassen Juli Spreadshirt
Sonstiges;de unternehmensmark Yink deutsch Druckservice spaeter Spreadshirt Grossbestellung hervorgehen
Sonstiges;bestehend Service bleiben Sparte Spread Group arbeiten sofort Marke
Sonstiges;Januar Beschloss Spread Group Produktionsstandort Leipzig schliessen
Sonstiges;Mitarbeiter Spreadshirt Manufacturing Deutschland Gmbh beurlaubt
Sonstiges;Leipzig produzieren europaeisch Volumen
Sonstiges;Verhandlung Beurlaubung Produktionsmitarbeiter aufheben Spread Group produzieren Leipzig
Sonstiges;Standort geben Legnica Polen Krupka tschechisch Republikim Juli Spreadshirt Hackerangriff betreffen
Sonstiges;adressdat Paypaladresse Kontoinformation Kunde erbeuten hash Passwoerter speichern
Sonstiges;aktuell Mitglied Vorstand Ceo Julian de Grahl cfo tobias Schaugg Chief Customer Delivery officer Hanne Dinkel Cto juergen Krisch stehen Oktober
Sonstiges;Kritikes Oefter unterstellen Spread Group web
Sonstiges;Klon handeln usamerikanisch cafepress
Sonstiges;com basieren
Sonstiges;Fuehrt Spiegel online Artikel
Sonstiges;Dezember Spread Group Ueberschrift -- deutsch web
Sonstiges;Nachahmer Kasse Copyshop --
Sonstiges;Artikel taz offenlegen -- Reconquista -- rcqt rechtsextremistisch Devotionali Spreadshirtshop anbieten
Sonstiges;Shop Spread Group schließen
Sonstiges;darueber hinaus Pinew -- pishop -- Spread group betreiben tshirts antimuslimisch Motiv anbieten
Sonstiges;Spread Group Schliessung Shop mehrfach erwägen Hinweis -- Meinungsfreiheit -- ablehnen
Sonstiges;Oktober Shop ebenfalls schließen
Sonstiges;bekennen Spread Group Kleidung qanonmotiven verkaufen
Sonstiges;Mai Inhalt qanon Verbindung stehen Plattform verbieten
Sonstiges;Mai geraten Spread Group Kritik Plattform mehrere Produkt anbieten Design tragen Judenstern erinnern
Sonstiges;Stern Aufschrift -- impfen -- versehen
Sonstiges;Shitstorm sozial Medium entfernen Unternehmen Produkt Angebot
Sonstiges;zahlen Faktenauf europaeisch Marktplatz Spread group befinden mittlerweile
Sonstiges;tshirtmotiven unterschiedlich Kombinatione fast verschieden Produkt kombinieren Koenn
Sonstiges;Umsatz belaufen mio
Sonstiges;Eur insgesamt verschicken Spread Group ueber Laender Million bedruckt Produkt
Sonstiges;Auszeichnungensilberner Best Biz Award Fuer Spreadshirtkollektion Kategorie Produktlinie Onlinestar Sonderpreis -- Gruender -- Fuer Lukasz Gadowskieurope ’s top Platz Wachstumsstaerkste Mittelstaendler Europa nr
Sonstiges;deutschlanddeutsch Internetpreis Auszeichnung Bundesministerium Fuer Wirtschaft Arbeit einzelnachweise
Sonstiges;Flaconi Gmbh -- eigenschreibweise flaconi -- deutsch onlineversandhaendl Fuer beautyprodukte Sitz Berlin
Softwareentwicklung im E-Commerce;ecommerceunternehmen gruenden gehoert Prosiebensat
Sonstiges;Geschichteflaconi Startup Bjoer Kolbmueller Paul Schwarzenholz gruenden
Sonstiges;frueh Investor Gehoert u
Sonstiges;benedict Rodenstock Astutia ventures
Sonstiges;steigen Prosiebensat
Sonstiges;Media Prosiebensat
Sonstiges;media se Investor Tvsender Tvkampagne Flaconi ausstrahlen
Sonstiges;folgen Komplettuebernahme Medienunternehmen
Sonstiges;Flaconigruender ziehen Zunaechst operativ Geschaeft zurueck Uebergab Mai Steuerung Unternehmen komplett Prosiebensat
Sonstiges;Sortiment gehoeren Parfum Pflege Makeup Haarpflege Naturkosmetik accessoir
Sonstiges;umfassen Produktportfolio Flaconi ueber Marke
Sonstiges;Artikel international kosmetikherstellern
Sonstiges;Flaconiconcept Store Berlinmitte Filiale Flaconi stationaer Handel vertreten
Sonstiges;verlagert Flaconi Auslieferungslager Nordosten Berlin
Sonstiges;September geben Flaconi bekennen Onlineversandhaendler
